regime,ablation,training_fraction,model_family,checkpoint_path,training_config_id,life_bin,bin,n_samples,n_nodes,mae_loglife,rmse_loglife,signed_mean_error_loglife,median_abs_error_loglife,MAE,RMSE,signed_mean_error,median_abs_error,unstable,training_fraction_pct,training_geometries,evaluation_label
Zonal,Edge_10,0.1,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_10\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_10:PointNetMLPJoint_FP:pnmlp_16932d84,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.0374252013862133,0.079996258020401,0.002562113804742694,0.018048763275146484,0.0374252013862133,0.079996258020401,0.002562113804742694,0.018048763275146484,False,10.0,400,validation-split evaluation
Zonal,Edge_10,0.1,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_10\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_10:PointNetMLPJoint_FP:pnmlp_16932d84,log_life >= 6,log_life >= 6,426681,426681,0.032179731875658035,0.06043349206447601,-0.0021291596349328756,0.01948833465576172,0.032179731875658035,0.06043349206447601,-0.0021291596349328756,0.01948833465576172,False,10.0,400,validation-split evaluation
Zonal,Edge_25,0.25,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_25:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,Full test set,Full test set,679000,679000,0.02176246978342533,0.054571494460105896,0.00027712187147699296,0.009266138076782227,0.02176246978342533,0.054571494460105896,0.00027712187147699296,0.009266138076782227,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_25:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,log_life < 2,log_life < 2,1030,1030,0.2565504312515259,0.2841249406337738,0.21611200273036957,0.2518198490142822,0.2565504312515259,0.2841249406337738,0.21611200273036957,0.2518198490142822,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_25:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.20602409541606903,0.2476181536912918,-0.02045862376689911,0.1930861473083496,0.20602409541606903,0.2476181536912918,-0.02045862376689911,0.1930861473083496,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_25:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.11249115318059921,0.16345374286174774,0.011420234106481075,0.08197617530822754,0.11249115318059921,0.16345374286174774,0.011420234106481075,0.08197617530822754,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_25:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.02172745391726494,0.057944003492593765,0.0007397686713375151,0.007373332977294922,0.02172745391726494,0.057944003492593765,0.0007397686713375151,0.007373332977294922,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,ArGEnT_self_att_noSDF,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\ArGEnT_self_att_noSDF\Trained_models\argent_self_nosdf_s_177b264d.pt,Edge_25:ArGEnT_self_att_noSDF:argent_self_nosdf_s_177b264d,log_life >= 6,log_life >= 6,426681,426681,0.017852887511253357,0.040188711136579514,-0.0005612798850052059,0.010104179382324219,0.017852887511253357,0.040188711136579514,-0.0005612798850052059,0.010104179382324219,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,GINOT-A,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\GINOT\Trained_models\ginot_a_match_250k_35ccca67_0.25.pt,Edge_25:GINOT-A:ginot_a_match_250k_35ccca67_0.25,Full test set,Full test set,679000,679000,0.025883477181196213,0.059603869915008545,0.002663346705958247,0.012602806091308594,0.025883477181196213,0.059603869915008545,0.002663346705958247,0.012602806091308594,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,GINOT-A,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\GINOT\Trained_models\ginot_a_match_250k_35ccca67_0.25.pt,Edge_25:GINOT-A:ginot_a_match_250k_35ccca67_0.25,log_life < 2,log_life < 2,1030,1030,0.26470881700515747,0.3053678274154663,0.22056977450847626,0.25223731994628906,0.26470881700515747,0.3053678274154663,0.22056977450847626,0.25223731994628906,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,GINOT-A,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\GINOT\Trained_models\ginot_a_match_250k_35ccca67_0.25.pt,Edge_25:GINOT-A:ginot_a_match_250k_35ccca67_0.25,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.20067967474460602,0.25158584117889404,-0.0033568423241376877,0.1687631607055664,0.20067967474460602,0.25158584117889404,-0.0033568423241376877,0.1687631607055664,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,GINOT-A,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\GINOT\Trained_models\ginot_a_match_250k_35ccca67_0.25.pt,Edge_25:GINOT-A:ginot_a_match_250k_35ccca67_0.25,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.118857242166996,0.1694975346326828,-0.0005811043665744364,0.0870521068572998,0.118857242166996,0.1694975346326828,-0.0005811043665744364,0.0870521068572998,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,GINOT-A,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\GINOT\Trained_models\ginot_a_match_250k_35ccca67_0.25.pt,Edge_25:GINOT-A:ginot_a_match_250k_35ccca67_0.25,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.025339215993881226,0.06314176321029663,-0.0035221863072365522,0.010135173797607422,0.025339215993881226,0.06314176321029663,-0.0035221863072365522,0.010135173797607422,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,GINOT-A,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\GINOT\Trained_models\ginot_a_match_250k_35ccca67_0.25.pt,Edge_25:GINOT-A:ginot_a_match_250k_35ccca67_0.25,log_life >= 6,log_life >= 6,426681,426681,0.022281035780906677,0.04570843651890755,0.0057187448255717754,0.013730525970458984,0.022281035780906677,0.04570843651890755,0.0057187448255717754,0.013730525970458984,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_25:PointNetMLPJoint_FP:pnmlp_16932d84,Full test set,Full test set,679000,679000,0.02605379931628704,0.06004792079329491,-0.0009774526115506887,0.012562751770019531,0.02605379931628704,0.06004792079329491,-0.0009774526115506887,0.012562751770019531,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_25:PointNetMLPJoint_FP:pnmlp_16932d84,log_life < 2,log_life < 2,1030,1030,0.197499081492424,0.25689005851745605,0.11474508792161942,0.1557321548461914,0.197499081492424,0.25689005851745605,0.11474508792161942,0.1557321548461914,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_25:PointNetMLPJoint_FP:pnmlp_16932d84,2 <= log_life < 3,2 <= log_life < 3,3491,3491,0.20554767549037933,0.26983118057250977,-0.03281611204147339,0.1560990810394287,0.20554767549037933,0.26983118057250977,-0.03281611204147339,0.1560990810394287,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_25:PointNetMLPJoint_FP:pnmlp_16932d84,3 <= log_life < 4,3 <= log_life < 4,8723,8723,0.12180381268262863,0.181505486369133,0.025960613042116165,0.08314180374145508,0.12180381268262863,0.181505486369133,0.025960613042116165,0.08314180374145508,False,25.0,1000,validation-split evaluation
Zonal,Edge_25,0.25,PointNetMLPJoint_FP,c:\Users\abfat\Desktop\Disc_lifing_paper_v2\Zonal\Edge_25\PointNetMLPJoint_FP\Trained_models\pnmlp_16932d84.pt,Edge_25:PointNetMLPJoint_FP:pnmlp_16932d84,4 <= log_life < 6,4 <= log_life < 6,239075,239075,0.026317428797483444,0.06366994231939316,0.0008217553258873522,0.011095523834228516,0.026317428797483444,0.06366994231939316,0.0008217553258873522,0.011095523834228516,False,25.0,1000,validation-split evaluation
